from_user,user_followers_count,user_followed_count
_abiolax,3372,393
_amy_smith,178,484
_ChrisDotMe,89,161
_PaulWainwright,75,1358
2020resultss,,
2yews,539,805
affleckquine,,
aidantaylor02,310,424
AlexandraGazi,,
alisonwonder2,262,586
Andrew_Adonis,,
aneraser,25,180
angelabounds131,368,1563
AngelaRayner,,
AngryNotTory,1030,1489
Annie08240822,16,14
antoniafrances,3139,3566
ArzooAhmed,831,1197
BOBTAYL01081689,335,521
BorisJohnson,,
brookeevelyn17,43,363
callummay,,
CalmHolmes,,
cansc,47,710
carolecadwalla,,
CarolineVoaden,,
celticchickadee,1491,2593
Channel4News,,
chris_leinster,39,257
ChrisEvans,,
ChristineJameis,6983,7675
ciaraaaaaaaa12,4,68
cktweeet,235,1379
Cytokineeight,211,677
davemacladd,,
davidschneider,,
DavidWill_UK,34,176
Debbie_abrahams,,
Disabled_Carer,2407,2392
djopa9,26,42
DNewtonC,5074,5575
dnky27,472,3326
domcoop7,,
elishaleann87,,
elizabethf100,2709,2072
ellamaythomas,23,27
EthanJakle,52,905
Femi_Sorry,,
Flahute66,79,290
florelst,,
Foxrunners,88,192
FUCKOFFEE215,,
GavinWilliamson,,
graceholliday,1457,1576
grantshapps,,
green_woman1,421,787
helen_alty,17,43
helenmcguffog,220,1326
hendopolis,,
hillarygyebi,950,658
HoingClaire,,
iainbharper,24,126
JamesEFoster,,
JessDuxbury1,91,254
JnthnMorse,799,2720
JolyonMaugham,,
judith27128602,218,101
katyraines,,
Keir_Starmer,,
kwerkyknits,,
LeanneWP,4,13
lemon_and_grass,66,315
lewis_goodall,,
Lilygharper,22,35
LisaJJ3,140,200
localnotail,5365,942
lonparent_forum,272,155
LTrPTLM____,50,144
MarxMedia,,
mccarthydai,59,404
Mirkasher31,3315,4995
Monzonite,86,72
Mrs_FlangeE,1917,1809
MusicSnobb,884,1373
NickDayPA,,
NickyHields,322,855
NorwichChloe,,
NSCarers,,
ofqual,,
OlazOmosco,210,512
OpenUniversity,,
Paul_Stocks_IFA,1319,1506
Pause2P,7,30
PhilipPullman,,
piersmorgan,,
piyakhanna,1931,2994
politicsastar,1876,1448
PrincessPowPow_,31,23
ProUdin2016,1238,417
rayraytee88,231,500
razzacha,56,160
renee_thaxter,,
RhubarbVaselino,171,1559
robbcorin,66,27
RobMcInnes,873,1239
RobMcMillan19,2,31
rowlsmanthorpe,,
RyanJoshuaCole2,5,44
S_Hammond,,
seanosullivan,262,337
sev_kudu,1696,176
ShelaghFogarty,,
SilvergnomeNo1,316,560
simonedens,551,671
SimonPease1,,
SkyNews,,
SkyNewsBreak,,
SomervilleOx,,
StrongerStabler,,
sxjxg,14,186
TashHarpley,512,165
tayfxx,894,1102
TheMisbourne,,
twittwootwiggy,1224,473
uday19438829,25,98
UniKent,,
UniofOxford,,
UnpuzzFinance,2554,1837
wasT_G,79,152
WeaselRocking,20,33
WelshLibDems,,
williamnhutton,,
