id,user_followers_count,user_followed_count,number_tweets,Profile
ChrisEvans,14793668,712,0,Artist
BBCNews,12256306,93,0,Media organization
piersmorgan,7971524,1848,0,Journalist
GaryLineker,7916204,1178,0,Deportist
SkyNews,7105643,27,0,Media organization
SkyNewsBreak,4785524,3,0,Media organization
guardiannews,3530443,1235,0,Media organization
BorisJohnson,3462369,457,0,Politician
Channel4News,2454954,4468,0,Media organization
Keir_Starmer,1109502,413,0,Politician
mrjamesob,789142,3341,0,Journalist
UniofOxford,731928,1355,0,University/School
DavidLammy,719593,4953,0,Politician
carolecadwalla,587778,4653,0,Journalist
davidschneider,512757,1612,0,Artist
LBC,474036,2085,0,Media organization
jessphillips,413917,3235,0,Politician
AndyBurnhamGM,410891,2573,0,Politician
BBCBreakfast,408333,249,0,Media organization
tes,344582,1202,0,Media organization
Femi_Sorry,303942,1891,0,Politician
GuardianEdu,292255,128,0,Media organization
JolyonMaugham,281871,1887,0,Professor/Researcher
AngelaRayner,275081,4544,0,Politician
MichaelRosenYes,238534,2944,0,Writer
PeterStefanovi2,229215,8586,0,Journalist
lewis_goodall,217735,4496,0,Journalist
PhilipPullman,193793,764,0,Writer
OpenUniversity,165868,419,0,University/School
toryboypierce,155153,682,0,Journalist
vicderbyshire,149669,1797,0,Journalist
Andrew_Adonis,148534,638,0,Politician
BBCWalesNews,134414,776,0,Media organization
grantshapps,125418,7378,0,Politician
spikedonline,117657,377,0,Media organization
LSEnews,108819,1322,0,Media organization
TheCanaryUK,103505,486,0,Media organization
GavinWilliamson,98812,535,0,Politician
hendopolis,95497,7531,0,Journalist
leicesterliz,94267,1695,0,Politician
ShelaghFogarty,91789,5801,0,Media organization
davemacladd,85931,60205,0,Deportist
wesstreeting,74219,9511,0,Politician
growthmindset1,65224,329,1,Professor/Researcher
fascinatorfun,60076,6805,0,Activist
williamnhutton,59957,196,0,Professor/Researcher
UniKent,52521,976,0,University/School
uniofleicester,52224,3674,0,University/School
Debbie_abrahams,52061,6442,0,Politician
ClaudiaWebbe,45962,9277,0,Politician
ofqual,44831,521,0,Public office
educationgovuk,44520,1617,0,Public office
AlisonMPeacock,41775,9622,0,Professor/Researcher
Madz_Grant,37869,2124,0,Politician
ProfTimBale,36576,3052,0,Professor/Researcher
StrongerStabler,34461,20345,0,Media organization
JamesEFoster,33616,1760,0,Activist
CorbynSnap,33295,28123,0,Humor account
WarmongerHodges,31997,3463,0,Activist
DrJoGrady,30354,4206,0,Union Leader
NikkiKF,28152,9899,0,Professor/Researcher
eduosborne,26508,21482,2,Professor/Researcher
justinmadders,26167,974,0,Politician
travisalabanza,25868,1096,0,Artist
rowlsmanthorpe,22133,1976,0,Journalist
Siobhain_Mc,20425,3348,0,Politician
ThinkingNothin,20144,10544,1,Other
S_Hammond,19556,1259,0,Politician
Rozkez67,18587,14681,0,Activist
NorwichChloe,18184,382,0,Politician
SarahOwen_,18047,7454,0,Politician
cirian75,15030,11762,0,Activist
CUH_NHS,14645,448,1,University/School
Socialist_party,14329,480,0,Political Party
Emma_Turner75,13710,10086,1,Professor/Researcher
Vemsteroo,13570,1593,0,Activist
USSU,12300,4021,0,Union Leader
jackieschneider,12135,4682,1,Politician
julianknight15,11931,758,0,Politician
SaveTheStudent,11539,1091,0,Activist
ElRaynerista,11532,10630,0,Other
DavidHeadViews,11413,10818,0,Professor/Researcher
maelhmatthews,11264,10591,0,Artist
paddydocherty,10717,776,0,Professor/Researcher
JimBethell,10622,661,0,Politician
JerryHicksUnite,10287,5543,0,Politician
CarolineVoaden,9845,1951,0,Politician
callummay,9523,3605,0,Journalist
SimonPease1,9497,6119,0,Activist
affleckquine,9321,6205,0,Activist
WelshLibDems,9271,2422,0,Activist
MidWalesMike,9182,570,0,Activist
WinterfellT,8641,5042,0,Other
RicHolden,8040,1839,0,Politician
shane_oleary,7650,8427,1,Other
MichaelSadgrove,7587,1944,1,Other
majanovelist,7219,6435,1,Writer
CalmHolmes,7095,2932,0,Other
ChristineJameis,6983,7675,8,Other
TimMorton2,6868,3453,1,Activist
HelpfulOlive,6698,2114,1,Other
SomervilleOx,6390,772,0,University/School
helmut_herberth,6321,6790,1,Other
Tamsin_J_Ford,6305,699,1,Professor/Researcher
EngineEarz,6267,2897,1,Artist
FUCKOFFEE215,6221,1918,0,Other
alexbellars,6066,6675,0,Professor/Researcher
andyfalconer,5658,449,0,Other
