id,user_followers_count,user_followed_count,number_tweets,Profile,
_abiolax,3372,393,2,Other,
_amy_smith,178,484,1,Other,
_ChrisDotMe,89,161,1,Other,
_jjaym,147,123,1,Other,
_PaulWainwright,75,1358,1,Other,
2020resultss,57,2,0,Other,
2yews,539,805,1,Other,
affleckquine,9321,6205,0,Activist,
aidantaylor02,310,424,2,Other,
aledprysw,266,312,1,Other,
AlexandraGazi,922,441,0,Other,
Ali_8k,2200,4174,2,Other,
AliMoirioMilA,986,2665,1,Other,
AlisonMPeacock,41775,9622,0,Professor/Researcher,
alisonwonder2,262,586,1,Other,
amars_innit,495,918,0,Other,
AmberxWoods,36,421,1,Other,
Andrew_Adonis,148534,638,0,Politician,
andrew_madaras,270,1251,1,Other,
andyfalconer,5658,449,0,Other,
aneraser,25,180,1,Other,
angelabounds131,368,1563,1,Other,
AngelaRayner,275081,4544,0,Politician,
AngryNotTory,1030,1489,1,Other,
Annie08240822,16,14,1,Other,
AnnieBannister,1859,1543,1,Other,
antoniafrances,3139,3566,1,Other,
ArzooAhmed,831,1197,1,Other,
asmanotasthmma,91,83,1,Other,
BOBTAYL01081689,335,521,1,Other,
BorisJohnson,3462369,457,0,Politician,
brookeevelyn17,43,363,1,Other,
BurnBanksy,1297,1519,1,Other,
bycChair,2848,1499,1,Other,
callummay,9523,3605,0,Journalist,
CalmHolmes,7095,2932,0,Other,
cansc,47,710,1,Other,
capitalism_cure,1440,1473,1,Other,
carolecadwalla,587778,4653,0,Journalist,
CarolineVoaden,9845,1951,0,Politician,
celticchickadee,1491,2593,4,Other,
Channel4News,2454954,4468,0,Media organization,
chris_leinster,39,257,1,Other,
ChrisEvans,14793668,712,0,Artist,
ChristineJameis,6983,7675,1,Other,
ciaraaaaaaaa12,4,68,1,Other,
cirian75,15030,11762,0,Activist,
cktweeet,235,1379,1,Other,
CorbynSnap,33295,28123,0,Humor account,
CPatrickPlay,473,532,1,Other,
crispyhalloumi,417,126,0,Other,
CullinaneCarl,1352,791,0,Other,
curiocat13,4320,4856,1,Other,
Cytokineeight,211,677,1,Other,
davemacladd,85931,60205,0,Deportist,
DavidHeadViews,11413,10818,0,Professor/Researcher,
davidschneider,512757,1612,0,Artist,
DavidWill_UK,34,176,1,Other,
dclovesgp,683,712,1,Other,
Debbie_abrahams,52061,6442,0,Politician,
DebbieQuick9,1017,1414,1,Other,
DebiAllen,1591,1680,1,Other,
Diamondzgirl,610,721,1,Other,
Disabled_Carer,2407,2392,3,Other,
discreetsecure,3248,2855,1,Other,
djopa9,26,42,1,Other,
DNewtonC,5074,5575,3,Other,
dnky27,472,3326,1,Other,
doctorblooz,2357,1073,1,ONG,
domcoop7,598,1829,0,Other,
DrCarolPercy,2745,4587,1,Professor/Researcher,
DrJoGrady,30354,4206,0,Union Leader,
duplojo,278,465,1,Other,
ELEAN0RDAISY,733,667,1,Other,
eleanor_kirby_,1070,951,1,Other,
elishaleann87,0,0,0,Other,
elizabethf100,2709,2072,1,Other,
ellamaythomas,23,27,1,Other,
ElRaynerista,11532,10630,0,Other,
Emma_Turner75,13710,10086,1,Professor/Researcher,
EthanJakle,52,905,1,Other,
EvelynCorney,9,48,0,Other,
Femi_Sorry,303942,1891,0,Politician,
FerreroR0ch,194,358,1,Other,
Flahute66,79,290,1,Other,
florelst,485,468,0,Other,
Foxrunners,88,192,1,Other,
Frances43689224,102,289,1,Other,
FUCKOFFEE215,6221,1918,0,Other,
G4LMATT,1882,1210,3,Other,
garethdjevans,497,2597,0,Professor/Researcher,
