from_user,user_followers_count,user_friends_count
___AHM3D,,
___chandan,404,1002
__Ahsan,111,308
__David_N_,293,1159
__Deep_Green,3677,3231
__Ellss,2272,1051
__glittergirl_,119,168
__harj7,1786,861
__jack_moore__,118,739
__Jaison__,31,71
__KAYEMARIE__,1412,839
__wardy,112,408
__yasmeeeen,697,395
_1fola,246,2176
_A_100_M,542,269
_aaronxii,53,276
_Abdullah_Uppal,,
_AdrianBrown,,
_ahkelus,487,161
_amyms,856,793
_aneesaahmed,93,61
_angusmason,364,474
_anjaheilmann,1434,1691
_annakaterina_,48,213
_anothersarah,1745,869
_aramosman,214,298
_ArtukBey,34,51
_asdjvofydkebwl,1,48
_ashixo,1446,484
_AsterDaniel,129,369
_axkay,675,353
_beardy_,247,200
_Ben_Molloy_,119,297
_big_unes,67,166
_BillieBelieves,3203,1256
_biwitch,92,147
_black_traffic_,553,1202
_Brian_Hunter,4662,5119
_brooketimmins,574,412
_bryonywilliams,517,455
_Canan__,1268,1920
_castro96,504,286
_CatherineAllen,6566,6262
_cbells,448,222
_ceeceexoxl,31,42
_ChrisDotMe,,
_CiaraHiggins,,
_CliffJones_,147,757
_danielsingle,286,827
_daniredd,1923,1776
_DanniWatts,241,536
_DevGlobal,8,14
_dontwannaknow_,20,21
_dreyy_,985,661
_ELLA_TREGO_,46,223
_ellafarrow,487,353
_ellasophia,606,620
_elliecooke_,493,1627
_ellierhunt,61,100
_emilydixon,32,157
_emmakdixon,,
_FaithHarper_,208,77
_flyswatter,,
_gav,296,137
_gbbns,1252,1640
_GEROL,908,641
_hana_abdulaziz,53,107
_hannah_ec,,
_hannahballard,664,659
_hariett,2814,578
_HarisAli_,1124,1018
_helenamorris,468,264
_hollyburke,126,96
_hollyisobel,51,47
_HYMA_,701,53
_iinsegnante,44,122
_imrh1,2643,648
_ImRussell,560,121
_is7ti,1260,1077
_IshAzad,,
_itsmeA,290,192
_JackPBrown,573,567
_jaderailton,40,190
_jakebiggs,95,144
_jessieallen_,,
_jjaym,175,125
_joeburdett,209,637
_josiemai,143,231
_JuliaJoy_,450,509
_jvshr,75,163
_Jyanos,763,591
_kaceylc,537,387
_kathrynsellers,492,242
_katielouise07,562,1763
_KieranJS,421,503
_KieranSpiers_,,
_KingKemi,286,264
_KirstyRose_,91,60
_lakemarie,116,268
_lauriecook,1575,792
_Leahg1,83,89
_leewenyi,412,203
_leghorn_,161,318
_Leyanelle_,6137,2206
_lucasmason,36,49
_lyvedaP,867,643
_m0j1,95,95
_maddystretch,910,347
_MaryAgyapong,,
_mattjames,175,191
_MaxCrabtree,31,106
_mcphi_,30,91
_melissaallen_,29,101
_miaseale,,
_momo36,,
_moneymikes,1694,1249
_msansari_,193,312
_muideen3,599,789
_Mxrtine,74,82
_natalodeon,1087,388
_niamhgordon,241,390
_nicmiller,758,1960
_nicooleee,289,308
_nicoromano_,75,149
_oduro6,,
_OliviaCheryl,3306,245
_open_science_,9153,119
_pannosse,20,62
_PasDeNom,340,196
_paul_daly,45,55
_Peacocks_,596,1512
_phoebehudson,33,99
_PolDol_,84,143
_rjrm,172,550
_Rume_,218,232
_SallyCharlton,722,352
_samann,313,218
_SamObaseki,1666,333
_saraxb_,870,180
_Shadow_wonder_,98,75
_Shans_x,364,1059
_shomam,23,26
_Shxrdayy,1679,1658
_sjxm,179,170
_smallen,95,189
_SnoopyOnALude,251,250
_sophie_jayne,288,336
_SteveHughes_,1085,1618
_strikinglight,379,49
_SueNash_,450,370
_superblack,121,166
_sxnya,3944,2791
_talkativeT,299,299
_tanayax,44,106
_taylor_matt,188,797
_Thalia_M,1113,792
_ThatGuyGavin,552,704
_the_GBC,96,406
_the_hunger,144,402
_tiasanders,,
_TomSimon,1577,2734
_treehuggr,11,112
_trevordonaghy,2479,2252
_Troy_________,417,435
_uwaisiqbal,670,2174
_vickyjohnson,561,486
_WellWellWell,95,732
_willhiggins,,
_xoxoalyy,786,4780
_xstxllx03_,44,417
_xxjowitaxx_,10,39
_zoeturner,113,140
004Bond,174,434
017Jasmine,,
04mfc10,6753,2873
0Calamity,24850,5062
0kiIlz,86,125
0ntology2,24,35
0wisk,3,78
1_pye,805,588
10_source,439,856
100Porcupines,150,368
10DaysThatShook,487,857
10PrinceUsama,161,186
121shan,698,1897
12fv123,2074,2952
130Inzam,43,27
13CorneliaSt,1892,877
13PAH,282,370
13StoneHeart,1192,1313
13timesPL,52,271
148SJ,190,312
17_jo_,306,264
